"code","uri","gear_group_code","isscfg_code","label_en","label_fr","definition_en","definition_fr"
"GS+SL",NA,"GI","07.9","Set gillnets and longlines","Filets maillants calés et palangres","A set gillnet is a long rectangular netting anchored or otherwise fixed to the seabed to catch fish when they come in contact with it. The set gillnet is held open vertically in the water by a headrope usually with floats, and by a footrope weighted with sinkers. Foatation and weight may be built into ropes, which are usually called floatrope and leadrope respectively. The net is kept in position by anchors or other weights, usually at both ends, and marked on the surface with buoys and/or highflyers; A set longline consists of a mainline and snoods with baited (occasionally unbaited) hooks at regular intervals and which is set, in general, on or near the bottom. The number of hooks, distance of snoods on the main line and length of the snoods depends on the target species, the handling capacity and technology used. Longlines can be set as bottom lines (including on very rough bottom and/or coral reefs) or, less commonly, in midwater or even not far from the surface. Its length can range from few hundred meters in coastal fisheries to more than 50 km in large scale mechanized fisheries","Un filet maillant fixe est un long filet rectangulaire ancré ou fixé au fond de la mer pour capturer les poissons lorsqu'ils entrent en contact avec lui. Le filet maillant fixe est maintenu ouvert verticalement dans l'eau par une corde de tête, généralement munie de flotteurs, et par une corde de pied lestée de plombs. Les flotteurs et le poids peuvent être intégrés dans des cordes, qui sont généralement appelées respectivement corde à flotteur et corde à plomb. Le filet est maintenu en position par des ancres ou d'autres poids, généralement aux deux extrémités, et marqué en surface par des bouées et/ou des balises ; Une palangre fixe se compose d'une ligne principale et d'avançons avec des hameçons appâtés (parfois non appâtés) à intervalles réguliers et qui est posée, en général, sur ou près du fond. Le nombre d'hameçons, la distance entre les hameçons et la ligne principale et la longueur des hameçons dépendent de l'espèce cible, de la capacité de manutention et de la technologie utilisée. Les palangres peuvent être posées en tant que lignes de fond (y compris sur des fonds très accidentés et/ou des récifs coralliens) ou, plus rarement, en pleine mer ou même non loin de la surface. Sa longueur peut aller de quelques centaines de mètres dans les pêcheries côtières à plus de 50 km dans les pêcheries mécanisées à grande échelle"
"HL",NA,"HL","09.1","Handlines","Lignes à main","A handline is set and pulled by hand and consists of one vertical line to which may be attached leader lines with hooks","Une ligne à main est posée et tirée à la main et se compose d'une ligne verticale à laquelle peuvent être attachés des bas de ligne avec des hameçons"
"HL+TL",NA,"HL","09.9","Handlines and trolling lines","Lignes à main et lignes de traîne","A handline is set and pulled by hand and consists of one vertical line to which may be attached leader lines with hooks; A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber","Une ligne à main est posée et tirée à la main et se compose d'une ligne verticale à laquelle peuvent être attachés des bas de ligne avec des hameçons ; Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs"
"HL+TL+DL",NA,"HL","09.9","Hooks and lines","Lignes et hameçons","A handline is set and pulled by hand and consists of one vertical line to which may be attached leader lines with hooks; A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber; A drifting longline consists of a mainline kept near the surface or at a certain depth by means of regularly spaced floats and with relatively long snoods with baited hooks, evenly spaced on the mainline. Drifting longlines may be of considerable length. Some drifting longlines are set vertically, each line hanging from a float at the surface","Une ligne à main est posée et tirée à la main et se compose d'une ligne verticale à laquelle peuvent être attachés des bas de ligne avec des hameçons ; Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs ; Une palangre dérivante consiste en une ligne principale maintenue près de la surface ou à une certaine profondeur au moyen de flotteurs régulièrement espacés et de hameçons relativement longs munis d'hameçons appâtés, régulièrement espacés sur la ligne principale. Les palangres dérivantes peuvent être d'une longueur considérable. Certaines palangres dérivantes sont posées verticalement, chaque ligne étant suspendue à un flotteur à la surface"
"HL+TL+PL",NA,"HL","09.9","Handlines, trolling lines and pole-and-lines","Lignes à main, lignes de traîne et cannes","A handline is set and pulled by hand and consists of one vertical line to which may be attached leader lines with hooks; A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber; A pole-and-line consists of a hooked line attached to a pole. This method is common to sport fisheries (angling) but it is also used in commercial fisheries. Fishing rods/poles are made of wood (including bamboo, also constructed of split cane) and increasingly of fiberglass","Une ligne à main est posée et tirée à la main et se compose d'une ligne verticale à laquelle peuvent être attachés des bas de ligne avec des hameçons ; Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs ; Une canne et une ligne consistant en une ligne crochetée attachée à une canne. Cette méthode est courante dans la pêche sportive (pêche à la ligne) mais elle est également utilisée dans la pêche commerciale. Les cannes à pêche/poteaux sont en bois (y compris le bambou, également construit en canne fendue) et de plus en plus en fibre de verre"
"LN",NA,"OT","05.9","Lift nets","Filets soulevés","A lift net is a horizontal netting panel or bag shaped like a parallelepiped, pyramid or cone with the opening facing upwards which are submerged at a certain depth, left for a while, the time necessary for light or bait to attract fish over the opening, then lifted out of the water","Un filet soulevé est un panneau de filet horizontal ou sac en forme de parallélépipède, de pyramide ou de cône, dont l'ouverture est tournée vers le haut, qui est immergé à une certaine profondeur, laissé pendant un certain temps, le temps que la lumière ou l'appât attire les poissons par l'ouverture, puis relevé hors de l'eau"
"PL",NA,"PL","09.1","Pole-and-lines","Cannes","A pole-and-line consists of a hooked line attached to a pole. This method is common to sport fisheries (angling) but it is also used in commercial fisheries. Fishing rods/poles are made of wood (including bamboo, also constructed of split cane) and increasingly of fiberglass","Une canne et une ligne consistant en une ligne crochetée attachée à une canne. Cette méthode est courante dans la pêche sportive (pêche à la ligne) mais elle est également utilisée dans la pêche commerciale. Les cannes à pêche/poteaux sont en bois (y compris le bambou, également construit en canne fendue) et de plus en plus en fibre de verre"
"PL+PS",NA,"PL","09.9","Pole-and-lines and purse seines","Cannes et sennes","A pole-and-line consists of a hooked line attached to a pole. This method is common to sport fisheries (angling) but it is also used in commercial fisheries. Fishing rods/poles are made of wood (including bamboo, also constructed of split cane) and increasingly of fiberglass; A purse seine is made of a long wall of netting framed with floatline and leadline (usually, of equal or longer length than the former) and having purse rings hanging from the lower edge of the gear, through which runs a purse line made from steel wire or rope which allow the pursing of the net. For most of the situation, it is the most efficient gear for catching large and small pelagic species that is shoaling","Une canne et une ligne consistant en une ligne crochetée attachée à une canne. Cette méthode est courante dans la pêche sportive (pêche à la ligne) mais elle est également utilisée dans la pêche commerciale. Les cannes à pêche/poteaux sont en bois (y compris le bambou, également construit en canne fendue) et de plus en plus en fibre de verre ; Une senne coulissante est constituée d'une longue paroi de filet encadrée par une ligne de flottaison et une ligne de plomb (généralement de longueur égale ou supérieure à la première) et munie d'anneaux de senne accrochés au bord inférieur de l'engin, dans lesquels passe une coulisse en fil d'acier ou en corde qui permet la poursuite du filet. Dans la plupart des cas, il s'agit de l'engin le plus efficace pour capturer les espèces pélagiques de petite et de grande taille qui se déplacent en bancs"
"PS",NA,"PS","01.1","Purse seines","Sennes coulissantes","A purse seine is made of a long wall of netting framed with floatline and leadline (usually, of equal or longer length than the former) and having purse rings hanging from the lower edge of the gear, through which runs a purse line made from steel wire or rope which allow the pursing of the net. For most of the situation, it is the most efficient gear for catching large and small pelagic species that is shoaling","La senne coulissante est constituée d'une longue paroi de filet encadrée par une ligne de flottaison et une ligne de plomb (généralement de longueur égale ou supérieure à la première) et munie d'anneaux de senne accrochés au bord inférieur de l'engin, dans lesquels passe une coulisse en fil d'acier ou en corde qui permet la poursuite du filet. Dans la plupart des cas, il s'agit de l'engin le plus efficace pour capturer les espèces pélagiques de petite et de grande taille qui se déplacent en bancs"
"RN",NA,"PS","01.2","Ring nets","Filets tournants sans coulisse","A ring net is a net the form of which is intermediate hybrid between a purse seine and a lamapara net: like on a purse seine, rings at the lower edge of the net, allow using a purse line to close it under the fish (pursing) and like on a lampara net, there is a central bunt (with smaller mesh) in which the capture concentrates as the two wings are hauled together and the leadline being shorter than the floatline give some how a spoon-shape as in lamapara net","Un filet à anneaux est une forme hybride intermédiaire entre une senne coulissante et un filet lampara : comme sur une senne coulissante, des anneaux sur le bord inférieur du filet permettent de le fermer sous le poisson à l'aide d'une ligne de coulisse et comme sur un filet lamparo, il y a un bunt central (avec des mailles plus petites) dans lequel la capture se concentre lorsque les deux ailes sont tirées ensemble et la ligne de plomb étant plus courte que la ligne de flottaison donne en quelque sorte une forme de cuillère comme dans le filet lampara"
"RR",NA,"HL","09.9","Rods and reels","Cannes avec moulinet","A pole with a line and usually a line winding mechanism, attached at the bottom of the pole, and is turned by a crank so that the line is wound around a barrel","Une canne avec une ligne et généralement un mécanisme d'enroulement de la ligne, fixé au bas de la canne, et qui est tourné par une manivelle de sorte que la ligne s'enroule autour d'un moulinet"
"SB",NA,"OT","08.4","Stow nets","Filets à l'étalage (diables)","A stow net is a stationary gear made from netting, usually in the form of a cone or pyramid. Stow nets can be fixed for a long time at the same place in rows. These nets are fixed by means of anchors or stakes, placed according to the direction and strength of the current. The mouths are sometimes held open by a frame, which may or may not be supported by a boat","Un filet à l'étalage est un engin fixe fait de filet, généralement en forme de cône ou de pyramide. Les filets à l'étalage peuvent être fixés pour une longue période au même endroit, en rangées. Ces filets sont fixés au moyen d'ancres ou de piquets, placés en fonction de la direction et de la force du courant. Les bouches sont parfois maintenues ouvertes par un cadre, qui peut ou non être soutenu par un bateau"
"SL",NA,"LL","09.31","Set longlines","Palangres ancrées","A set longline consists of a mainline and snoods with baited (occasionally unbaited) hooks at regular intervals and which is set, in general, on or near the bottom. The number of hooks, distance of snoods on the main line and length of the snoods depends on the target species, the handling capacity and technology used. Longlines can be set as bottom lines (including on very rough bottom and/or coral reefs) or, less commonly, in midwater or even not far from the surface. Its length can range from few hundred meters in coastal fisheries to more than 50 km in large scale mechanized fisheries","Une palangre fixe se compose d'une ligne principale et d'avançons avec des hameçons appâtés (parfois non appâtés) à intervalles réguliers et qui est posée, en général, sur ou près du fond. Le nombre d'hameçons, la distance entre les hameçons et la ligne principale et la longueur des hameçons dépendent de l'espèce cible, de la capacité de manutention et de la technologie utilisée. Les palangres peuvent être posées en tant que lignes de fond (y compris sur des fonds très accidentés et/ou des récifs coralliens) ou, plus rarement, en pleine mer ou même non loin de la surface. Sa longueur peut aller de quelques centaines de mètres dans les pêcheries côtières à plus de 50 km dans les pêcheries mécanisées à grande échelle"
"SP",NA,"OT","99.9","None (supply vessels)","Aucun engin (navires auxiliaires)","No fishing gear is used by supply (support, auxiliary) vessels which support the fishing activities of the large-scale purse seiners","Aucun engin de pêche n'est utilisé par les navires supply (d'assistance, auxiliaires) qui assistent les activités de pêche des senneurs "
"TL",NA,"HL","09.5","Trolling lines","Lignes de traîne","A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber","Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs"
"TP",NA,"OT","08.9","Traps","Pièges","Traps, large stationary nets or barrages or pots, are gears in which the fish are retained or enter voluntarily and will be hampered from escaping. They are designed in such manner that the entrance itself became a non-return device, allowing the fish to enter the trap but making it impossible to leave the catching chamber. Traps are baited or not. Pieces of fish are often used as bait. Artificial baits are also in use. Other types of traps are provided with large guiding panels made from netting to lead the fish into the catching chamber. Different materials are used for building a trap: wood, split bamboo, netting wire are some examples","Les pièges, grands filets fixes ou barrages ou nasses, sont des engins dans lesquels le poisson est retenu ou entre volontairement et sera empêché de s'échapper. Ils sont conçus de telle manière que l'entrée elle-même devient un dispositif anti-retour, permettant au poisson de pénétrer dans le piège mais rendant impossible sa sortie de la chambre de capture. Les pièges sont appâtés ou non. Des morceaux de poisson sont souvent utilisés comme appât. Des appâts artificiels sont également utilisés. D'autres types de pièges sont munis de grands panneaux de guidage faits de filets pour conduire les poissons dans la chambre de capture. Différents matériaux sont utilisés pour construire un piège : bois, bambou fendu, fil de filet, etc."
"TR",NA,"OT","03.9","Trawls","Chaluts","A trawl is a cone-shaped net (made from two, four or more panels) which is towed, by one or two boats, on the bottom or in midwater (pelagic). The cone-shaped body ends in a bag or coded. The horizontal opening of the gear while it is towed is maintained by beams, otter boards or by the distance between the two towing vessels (pair trawling). Floats and weights and/or hydrodynamic devices provide for the vertical opening. Two parallel trawls might be rigged between two otter boards (twin trawls). The mesh size in the codend or special designed devices is used to regulate the size and species to be captured","Un chalut est un filet de forme conique (composé de deux, quatre ou plus de panneaux) qui est remorqué, par un ou deux bateaux, sur le fond ou en pleine mer (pélagique). Le corps conique se termine par un sac ou un code. L'ouverture horizontale de l'engin lors du remorquage est maintenue par des poutres, des panneaux ou par la distance entre les deux bateaux remorqueurs (chalutage en couple). Des flotteurs et des poids et/ou des dispositifs hydrodynamiques assurent l'ouverture verticale. Deux chaluts parallèles peuvent être installés entre deux panneaux (chaluts jumeaux). Le maillage du cul de chalut ou des dispositifs spécialement conçus sont utilisés pour réguler la taille et les espèces à capturer"
"UN",NA,"OT","99.9","Unknown gears","Engins inconnus","Unknown gear","Engin inconnnu"
"Un",NA,"OT","10.1","Harpoons","Harpons","A harpoon is a gear for killing, wounding or grappling fish, whales and marine mammals. In their simplest forms harpoons are built from a wood pole having a steel point with one or more fixed or movable barbs at its forward end. Usually the harpoon is connected with a retrieving line. Modern harpoons are shot by guns. Harpoons used for whaling can be electrified or equipped with grenades","Un harpon est un engin destiné à tuer, blesser ou saisir des poissons, des baleines et des mammifères marins. Dans leur forme la plus simple, les harpons sont fabriqués à partir d'une perche en bois munie d'une pointe en acier avec un ou plusieurs ardillons fixes ou mobiles à son extrémité avant. Le harpon est généralement relié à une ligne de récupération. Les harpons modernes sont tirés par des fusils. Les harpons utilisés pour la chasse à la baleine peuvent être électrifiés ou équipés de grenades"
"VL",NA,"HL","09.4","Vertical lines","Lignes verticales","A vertical line consists of a line to which is attached sinker and one or several hooks. In commercial fisheries the lines have usually several hooks. The additional hooks can be fixed on the mainline at short intervals with branch lines of a certain length. The line weighed down by sinkers can be set up to 200 m depth and is hauled with jerky movements","Une ligne verticale se compose d'une ligne à laquelle est attaché un plomb et un ou plusieurs hameçons. Dans la pêche commerciale, les lignes comportent généralement plusieurs hameçons. Les hameçons supplémentaires peuvent être fixés sur la ligne principale à de courts intervalles avec des lignes secondaires d'une certaine longueur. La ligne lestée par des plombs peut être posée jusqu'à 200 m de profondeur et est tirée par des mouvements saccadés"
