code,uri,label,definition,label_en,label_fr,label_es
SPY,NA,"Hammerhead sharks, etc. nei",Sphyrnidae,"Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep"
STT,NA,"Stingrays, butterfly rays nei",Dasyatidae,"Stingrays, butterfly rays nei","Pastenagues, etc. nca","Pastinacas, etc. nep"
SKH,NA,Various sharks nei,Selachimorpha (Pleurotremata),Various sharks nei,Requins divers nca,Escualos diversos nep
BSF,NA,black scabbardfish,Aphanopus carbo,black scabbardfish,Sabre noir,Sable negro
SFS,NA,Silver scabbardfish,Lepidopus caudatus,Silver scabbardfish,Sabre argenté,Pez cinto
CVJ,NA,Crevalle jack,Caranx hippos,Crevalle jack,Carangue crevalle,Jurel común
GBA,NA,Great barracuda,Sphyraena barracuda,Great barracuda,Barracuda,Picuda barracuda
YTC,NA,Yellowtail amberjack,Seriola lalandi,Yellowtail amberjack,Sériole chicard,Medregal rabo amarillo
SAU,NA,Atlantic saury,Scomberesox saurus,Atlantic saury,Balaou atlantique,Paparda del Atlántico
POA,NA,Atlantic pomfret,Brama brama,Atlantic pomfret,Grande castagnole,Japuta
AMB,NA,Greater amberjack,Seriola dumerili,Greater amberjack,Sériole couronnée,Pez de limón
AWI,NA,Orange filefish,Aluterus schoepfii,Orange filefish,Bourse orange,Lija naranja
BVP,NA,Bluespotted triggerfish,Balistes punctatus,Bluespotted triggerfish,Baliste à taches bleues,Pejepuerco moteado
EXQ,NA,Flying halfbeak,Euleptorhamphus velox,Flying halfbeak,Demi-bec volant,Agujeta voladora
LGH,NA,Oceanic puffer,Lagocephalus lagocephalus,Oceanic puffer,Compère océanique,Tamboril liebre
ALM,NA,Unicorn leatherjacket filefish,Aluterus monoceros,Unicorn leatherjacket filefish,Bourse loulou,Lija barbuda
CBA,NA,Cobia,Rachycentron canadum,Cobia,Mafou,Cobia
CFW,NA,Pompano dolphinfish,Coryphaena equiselis,Pompano dolphinfish,Coryphène dauphin,Dorado
CNT,NA,Rough triggerfish,Canthidermis maculata,Rough triggerfish,Baliste rude,Calafate áspero
DIY,NA,Spot-fin porcupinefish,Diodon hystrix,Spot-fin porcupinefish,Porc-épic boubou,Pejerizo común
GAR,NA,Garfish,Belone belone,Garfish,Orphie,Aguja
HMM,NA,Mediterranean horse mackerel,Trachurus mediterraneus,Mediterranean horse mackerel,Chinchard à queue jaune,Jurel mediterráneo
LEE,NA,Leerfish,Lichia amia,Leerfish,Liche,Palometón
MOX,NA,Ocean sunfish,Mola mola,Ocean sunfish,Poisson lune,Pez luna
MRW,NA,Sharptail mola,Masturus lanceolatus,Sharptail mola,Poisson-lune lancéolé,Masturus lanceolatus
NAU,NA,Pilotfish,Naucrates ductor,Pilotfish,Poisson pilote,Pez piloto
RRU,NA,Rainbow runner,Elagatis bipinnulata,Rainbow runner,Comète saumon,Macarela salmón
RUB,NA,Blue runner,Caranx crysos,Blue runner,Carangue coubali,Cojinúa negra
RZV,NA,Slender sunfish,Ranzania laevis,Slender sunfish,Ranzania,Ranzania
TAL,NA,Big-scale pomfret,Taractichthys longipinnis,Big-scale pomfret,Castagnole fauchoir,Tristón aletudo
TAS,NA,Rough pomfret,Taractes asper,Rough pomfret,Taractes asper,Taractes asper
TCR,NA,Dagger pomfret,Taractes rubescens,Dagger pomfret,NA,NA
TRG,NA,Grey triggerfish,Balistes carolinensis,Grey triggerfish,Baliste cabri,Pejepuerco blanco
TST,NA,Sickle pomfret,Taractichthys steindachneri,Sickle pomfret,NA,Tristón segador
USE,NA,Cottonmouth jack,Uraspis secunda,Cottonmouth jack,Carangue coton,Jurel volantín
VAD,NA,Vadigo,Campogramma glaycos,Vadigo,Liche lirio,Lirio
YTL,NA,Longfin yellowtail,Seriola rivoliana,Longfin yellowtail,Sériole limon,Medregal limón
BAZ,NA,"Barracudas, etc. nei",Sphyraenidae,"Barracudas, etc. nei","Bécunes, barracudas, nca","Barracudas, picudas, nep"
FLY,NA,Flyingfishes nei,Exocoetidae,Flyingfishes nei,Exocets nca,Voladores nep
TRI,NA,"Triggerfishes, durgons nei",Balistidae,"Triggerfishes, durgons nei",Balistes nca,Peces-ballesta nep
