"code","uri","dataset_code","label_en","label_fr"
"RCLG",NA,"RC","Retained catches estimated by raising the amounts recorded in the vessel logbooks to the total catches unloaded / transshipped for the trip (or alternative time-area strata)","Captures conservées estimées en extrapolant les quantités consignées sur les fiches de pêche aux captures totales débarquées/transbordées pour la marée (ou pour une strate spatio-temporelle alternative)"
"RCLS",NA,"RC","Retained catches estimated by raising the amounts resulting from adjusting the species composition in the logbooks by using the size samples available to the total catches unloaded / transshipped for each trip (or alternative time-area strata)","Captures conservées estimées en extrapolant les quantités résultant de l’ajustement de la composition spécifique consignée dans les fiches de pêche (en utilisant les échantillonnages de tailles disponibles) aux captures totales débarquées/transbordées pour chaque marée (ou pour une strate spatio-temporelle alternative)"
"RCNO",NA,"RC","Retained catches not estimated (reported landings not verified by government staff)","Captures conservées non estimées (débarquements déclarés non vérifiés par des fonctionnaires)"
"RCPA",NA,"RC","Retained catches derived by using average catches by vessel unloading estimated from landing slips completed at processing plants and total number of vessel unloadings for the period","Captures conservées à bord estimées en utilisant les captures moyennes par navire débarquant estimées des fiches de débarquement renseignées par l’usine de transformation et le nombre total de navire débarquant sur la période."
"RCPR",NA,"RC","RC refer to processed weights; RC raised to live weight by multiplying the catches reported by the conversion factor available for the species and type of processing concerned","RC fait référence aux quantités transformées; RC élevées au poids vif en multipliant les captures rapportées par le facteur de conversion disponible pour l’espèce et le type de transformation pratiquée."
"RCPT",NA,"RC","Retained catches not available; RC estimated by using previous years catches for the fleet concerned and catch trends from proxy fleet/s","Captures conservées à bord non disponibles; RC estimées en utilisant les captures de l’année précédente de la flotte concernée et les tendances de captures d’une flotte similaire."
"RCRA",NA,"RC","Retained catches not available; RC aggregated by IOTC Area and in processed weight; RC raised by using the conversion factor available for the species and type of processing concerned and broken by IOTC Area by using alternative information","Captures conservées à bord non disponibles; RC agrégées pour la zone CTOI et en poids transformé; RC estimées en utilisant le facteur de conversion disponible pour l’espèce et le type de transformation pratiquée et séparées par zone CTOI en utilisant des informations alternatives."
"RCRF",NA,"RC","Retained catches not available; repetition of following year data","Captures conservées à bord non disponibles; répétition des données de capture des années suivantes."
"RCRP",NA,"RC","Retained catches not available; repetition of previous year data","Captures conservées à bord non disponibles; répétition des données de capture des années précédentes"
"RCRS",NA,"RC","Retained catches not available; RC estimated by using the ratio catches of the species:catches of other species for the same fleet","Captures conservées à bord non disponibles; RC estimées en utilisant la proportion de capture de l’espèce: captures d’autres espèces pour la même flotte"
"RCSA",NA,"RC","Retained catches not available; RC aggregated by species and IOTC Area; RC broken by species and IOTC Area by using alternative information","Captures conservées à bord non disponibles; RC agrégées par espèce et zone CTOI; RC séparées par espèce et zone CTOI en utilisant des informations alternatives."
"RCSB",NA,"RC","Retained catches not available; RC estimated by using the retained catches available from other years (substitution scheme)","Captures conservées non disponibles ; RC estimées en utilisant les données de captures conservées disponibles pour d’autres années (substitution)"
"RCSG",NA,"RC","Retained catches not available; RC aggregated by gear, species and IOTC Area; RC broken by gear, species and IOTC Area by using alternative information","Captures conservées à bord non disponibles; RC agrégées par engin, espèce et zone CTOI; RC séparées par engin, espèce et zone CTOI en utilisant des informations alternatives"
"RCSP",NA,"RC","Retained catches not available; RC aggregated by species; RC broken by species by using alternative information","Captures conservées à bord non disponibles; RC agrégées par espèce; RC séparées par espèce en utilisant des informations alternatives"
"RCSS",NA,"RC","Retained catches estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort estimated for each time-area stratum  (sampling of effort in time and/or space; sampling of catches in time and/or space)","Captures conservées estimées en multipliant les valeurs de PUE moyennes obtenues par échantillonnages (sur les sites de débarquement) par l’effort total enregistré pour chaque strate spatio-temporelle (énumération totale de l’effort dans le temps et/ou l’espace ; échantillonnage des captures dans le temps et/ou l’espace)"
"RCTE",NA,"RC","Total enumeration of retained catches (no estimation required; landings monitored through/verified by government staff)","Dénombrement total des captures conservées (pas d’estimation requise ; débarquements surveillés/vérifiés par des fonctionnaires)"
"RCTR",NA,"RC","Retained catches not available; RC estimated by using the trend from previous years catches","Captures conservées à bord non disponibles; RC estimées en utilisant la tendance des captures des années précédentes."
"RCFO",NA,"RC","Retained catches not available; RC estimated by using the trend from following years catches","Captures conservées à bord non disponibles; RC estimées en utilisant la tendance des captures des années suivantes"
"DIES",NA,"DI","Discard levels estimated by multiplying average DPUE values obtained through a sample survey (at-sea) by the total effort recorded in each time-area stratum  (total enumeration of effort in time and space; sampling of discards in time and/or space)","Niveaux de rejets estimés en multipliant les valeurs de RUE (« rejets par unité d’effort ») moyennes obtenues à partir d’un échantillonnage en mer par l’effort total enregistré pour chaque strate spatio"
"DILG",NA,"DI","Discard levels estimated by multiplying average DPUE values obtained from the data reported (not verified by government staff) by the total effort recorded in each time-area stratum (total enumeration of effort)","Niveaux de rejets estimés en multipliant les valeurs de RUE (« rejets par unité d’effort ») moyennes obtenues à partir des données déclarées (non vérifiées par des fonctionnaires) par l’effort total enregistré pour chaque strate spatio"
"DILS",NA,"DI","Discard levels estimated by multiplying average DPUE values obtained from the data reported (not verified by government staff) by the total effort estimated for each time-area stratum (sampling of effort in time and/or space)","Niveaux de rejets estimés en multipliant les valeurs de RUE (« rejets par unité d’effort ») moyennes obtenues à partir des données déclarées (non vérifiées par des fonctionnaires) par l’effort total enregistré pour chaque strate spatio"
"DINO",NA,"DI","Discard levels not estimated (reported discards not verified by government staff)","Niveaux de rejets non estimés (rejets déclarés non vérifiés par des fonctionnaires)"
"DISB",NA,"DI","Discard levels not available; DI estimated by using the discards available from other years (substitution scheme)","Niveaux de rejets non disponibles ; rejets estimés en utilisant les données de rejets conservées disponibles pour d’autres années (substitution)"
"DISS",NA,"DI","Discard levels estimated by multiplying average DPUE values obtained through a sample survey (at-sea) by the total effort estimated for each time-area stratum  (sampling of effort in time and/or space; sampling of discards in time and/or space)","Niveaux de rejets estimés en multipliant les valeurs de RUE (« rejets par unité d’effort ») moyennes obtenues à partir d’un échantillonnage en mer par l’effort total estimé pour chaque strate spatio"
"DITE",NA,"DI","Total enumeration of discards (no estimation required; discards monitored through /verified by observers)","Dénombrement total des rejets (pas d’estimation requise ; rejets surveillés/vérifiés par des observateurs)"
"FCNO",NA,"FC","Number of fishing crafts active not estimated (total number of crafts registered for the year used)","Nombre total de bateaux de pêche actifs non estimé (utilisation du nombre total de navires enregistrés pour l’année concernée)"
"FCOR",NA,"FC","Number of active fishing crafts estimated by multiplying the proportion that the number of fishing crafts operated make out of the total number of crafts registered for the period, obtained through sampling, by the total amount of fishing craft registered for that same period (sampling of number of fishing crafts operated in time and/or space)","Nombre de bateaux de pêche actifs estimé en multipliant la proportion entre le nombre de bateaux de pêches actifs et le nombre total de bateaux de pêche enregistrés pour la période (obtenue par échantillonnage) par le nombre total de navires de pêche enregistrés pour cette même période (échantillonnage du nombre de bateaux de pêche actifs, dans le temps et/ou dans l’espace)"
"FCSB",NA,"FC","Number of active fishing crafts not available; FC estimated by using the number of crafts available from other years (substitution scheme)","Nombre de navires de pêche actifs non disponible ; estimé en utilisant les nombres de bateaux disponibles pour d’autres années (substitution)"
"FCSS",NA,"FC","Number of active fishing crafts estimated by multiplying the average number of fishing crafts operated by time-area stratum, obtained through a sampling survey, by the total number of strata operated (sampling of number of fishing crafts operated in time and/or space)","Nombre de bateaux de pêche actifs estimé en multipliant le nombre moyen de bateaux de pêche actifs par strate spatio-temporelle (obtenu par échantillonnage) par le nombre total de strates actives (échantillonnage du nombre de bateaux de pêche actifs, dans le temps et/ou dans l’espace)"
"FCTE",NA,"FC","Total enumeration of fishing crafts operated (no estimation required; number of fishing crafts operated monitored through /verified by government staff)","Énumération totale des navires de pêche actifs (pas d’estimation requise ; nombre de navires de pêche actifs surveillés/vérifiés par des fonctionnaires)"
"CEBR",NA,"CE","Catch-and-effort not available; CE not available by month and IOTC grid; proportional allocation of catches-and-effort by month and IOTC grid","Prises et effort non disponibles par mois et grille;  Répartition proportionnelle des prises et effort par mois et grille"
"CEEP",NA,"CE","Effort not available; effort estimated by dividing the total catches in the stratum by the CPUE in proxy strata/stratum","Prises et effort non disponibles; effort estimé par divisant les captures totales dans les strates par de PUE des strates similaire"
"CEES",NA,"CE","Catch-and-effort estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort recorded in each time-area stratum  (total enumeration of effort in time and space; sampling of catches in time and/or space)","Prises et effort estimées en multipliant les valeurs moyennes de PUE obtenues par un échantillonnage (sur le site de débarquement) par l’effort total enregistré pour chaque strate spatio"
"CELS",NA,"CE","Catch-and-effort by species adjusted by using the size samples available for each trip (or alternative time-area strata)","Prises et effort par espèces ajustées en utilisant les échantillonnages de tailles disponibles pour chaque marée (ou pour des strates spatio"
"CENO",NA,"CE","Catch-and-effort not estimated (reported catch-and-effort not verified by government staff)","Prises et effort non estimées (prises et effort déclarées non vérifiées par des fonctionnaires)"
"CESB",NA,"CE","Catch-and-effort not available for the stratum; CE estimated by using the catch-and-effort available in neighboring time-area strata (substitution scheme)","Prises et effort non disponibles pour la strate ; estimées en utilisant les prises et effort disponibles pour des strates voisines (substitution)"
"CESS",NA,"CE","Catch-and-effort estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort estimated for each time-area stratum  (sampling of effort in time and/or space; sampling of catches in time and/or space)","Prises et effort estimées en multipliant les valeurs moyennes de PUE obtenues par un échantillonnage (sur le site de débarquement) par l’effort total estimé pour chaque strate spatio"
"CETE",NA,"CE","Total enumeration of catch-and-effort (no estimation required; catch-and-effort monitored through/verified by government staff (e.g. observers))","Énumération totale des prises et effort (pas d’estimation requise ; prises et effort surveillées/vérifiées par des fonctionnaires, par exemple des observateurs)"
"SFNO",NA,"SF","Length / weight frequency data not verified  (fish lengths/weights reported by the fishing sector not verified by government staff)","Données de longueur/poids non vérifiées (longueur/poids des poissons déclarés par les professionnels de la pêche, non vérifiés par des fonctionnaires)"
"SFPR",NA,"SF","Length / weight frequency samples raised to represent the catches in the sampling unit (e.g. the fish compartment, the fishing vessel, etc.)","Échantillonnages de fréquences de longueur/poids extrapolés pour représenter les captures dans l’unité d’échantillonnage (par exemple la cale à poisson, le navire de pêche…)"
"SFRS",NA,"SF","Length / weight frequency samples raised to represent the total catches in the stratum (catch-at-size)","Échantillonnages de fréquences de longueur/poids extrapolées pour représenter les captures totale dans la strate (prises par tailles)"
"SFSP",NA,"SF","Length / weight frequency samples not processed (original samples collected by government staff or scientific observers)","Échantillonnages de longueur/poids non traités (échantillons originaux non collectés par des fonctionnaires ou des observateurs)"
"SFTE",NA,"SF","Total enumeration of individual fish lengths /weights (no estimation required; fish lengths / weights monitored through/verified by government staff)","Dénombrement total des longueurs/poids individuels des poissons (aucune estimation requise ; longueurs/poids individuels des poissons suivis/vérifiés par des fonctionnaires)"
"CEUN",NA,"CE","Unknown","Inconnu; Entièrement estimé"
"DIUN",NA,"DI","Unknown","Inconnu; Entièrement estimé"
"FCUN",NA,"FC","Unknown",NA
"RCUN",NA,"RC","Unknown","Inconnu; Entièrement estimé"
"SFUN",NA,"SF","Unknown","Inconnu; Entièrement estimé"
"CESP",NA,"CE","Catch-and-effort not available by Species; proportional allocation of catches-and-effort by species","Prises et effort non disponibles par espèce ; Répartition proportionnelle des prises et effort par espèce"
"FABR",NA,"FA","Catch-and-effort not available; CE not available by month and IOTC grid; proportional allocation of catches-and-effort by month and IOTC grid","Prises et effort non disponibles par mois et grille;  Répartition proportionnelle des prises et effort par mois et grille"
"FAEP",NA,"FA","Effort not available; effort estimated by dividing the total catches in the stratum by the CPUE in proxy strata/stratum","Prises et effort non disponibles; effort estimé par divisant les captures totales dans les strates par de PUE des strates similaire"
"FAES",NA,"FA","Catch-and-effort estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort recorded in each time-area stratum  (total enumeration of effort in time and space; sampling of catches in time and/or space)","Prises et effort estimées en multipliant les valeurs moyennes de PUE obtenues par un échantillonnage (sur le site de débarquement) par l’effort total enregistré pour chaque strate spatio"
"FALS",NA,"FA","Catch-and-effort by species adjusted by using the size samples available for each trip (or alternative time-area strata)","Prises et effort par espèces ajustées en utilisant les échantillonnages de tailles disponibles pour chaque marée (ou pour des strates spatio"
"FANO",NA,"FA","Catch-and-effort not estimated (reported catch-and-effort not verified by government staff)","Prises et effort non estimées (prises et effort déclarées non vérifiées par des fonctionnaires)"
"FASB",NA,"FA","Catch-and-effort not available for the stratum; CE estimated by using the catch-and-effort available in neighboring time-area strata (substitution scheme)","Prises et effort non disponibles pour la strate ; estimées en utilisant les prises et effort disponibles pour des strates voisines (substitution)"
"FASS",NA,"FA","Catch-and-effort estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort estimated for each time-area stratum  (sampling of effort in time and/or space; sampling of catches in time and/or space)","Prises et effort estimées en multipliant les valeurs moyennes de PUE obtenues par un échantillonnage (sur le site de débarquement) par l’effort total estimé pour chaque strate spatio"
"FATE",NA,"FA","Total enumeration of catch-and-effort (no estimation required; catch-and-effort monitored through/verified by government staff (e.g. observers))","Énumération totale des prises et effort (pas d’estimation requise ; prises et effort surveillées/vérifiées par des fonctionnaires, par exemple des observateurs)"
"FAUN",NA,"FA","Unknown","Inconnu; Entièrement estimé"
"FASP",NA,"FA","Catch-and-effort not available by Species; proportional allocation of catches-and-effort by species","Prises et effort non disponibles par espèce ; Répartition proportionnelle des prises et effort par espèce"
