"code","uri","dataset_code","label_en","label_fr","definition_en","definition_fr"
"BR",NA,"FA","Proportional allocation","Répartition proportionnelle","CE data not available by month and IOTC grid; catches and effort allocated proportionally by month and grid","Prises et efforts non disponibles par mois et grille; répartition proportionnelle des prises et efforts"
"EP",NA,"FA","Effort estimated from CPUE","Effort estimé via PUE","Efforts not available; estimated by dividing total catches in stratum by CPUE in proxy strata","Prises et efforts non disponibles; estimés par division des captures totales par PUE des strates similaires"
"ES",NA,"FA","Survey-based catch estimate","Estimation des captures par enquête","Catches estimated by multiplying average CPUE from sample survey at landing place by total known effort in stratum","Captures estimées en multipliant les valeurs moyennes de PUE obtenues par échantillonnage (site de débarquement) par l’effort total connu"
"LS",NA,"FA","Size-adjusted CE","Ajustement par taille","CE by species adjusted using size samples available per trip or alternative strata","Prises et efforts par espèces ajustés à partir des échantillons de tailles disponibles"
"NO",NA,"FA","Not estimated","Non estimé","CE not estimated; reported data not verified by government staff","Prises et efforts non estimés (données déclarées non vérifiées)"
"SB",NA,"FA","Substitution scheme","Substitution","CE not available for stratum; estimated using neighboring strata","Prises et efforts non disponibles pour la strate; estimés à partir des strates voisines"
"SP",NA,"FA","Species proportional allocation","Répartition par espèce","CE not available by species; proportional allocation by species","Prises et efforts non disponibles par espèce; répartition proportionnelle"
"SS",NA,"FA","Survey-based stratum estimate","Estimation par enquête et effort","Catches estimated by multiplying average CPUE from sample survey by total estimated effort in stratum","Prises et efforts estimés en multipliant les valeurs moyennes de PUE par l’effort total estimé"
"TE",NA,"FA","Total enumeration","Énumération totale","No estimation required; CE monitored/verified by government staff","Prises et efforts suivis/vérifiés par des fonctionnaires (pas d’estimation requise)"
"UN",NA,"FA","Unknown","Inconnu","Unknown","Inconnu"
"NO",NA,"FC","Not estimated","Non estimé","Number of active crafts not estimated; total registered crafts used","Nombre total de navires de pêche actifs non estimé (utilisation du nombre total enregistré)"
"OR",NA,"FC","Survey-based estimate","Estimation par enquête","Number of active crafts estimated by multiplying proportion of operated crafts by total registered crafts obtained from sampling","Nombre de navires actifs estimé par échantillonnage"
"SB",NA,"FC","Substitution scheme","Substitution","Number of active crafts not available; estimated using data from other years","Nombre de navires actifs non disponible; estimé à partir d’autres années"
"SS",NA,"FC","Survey-based stratum estimate","Estimation par enquête et strates","Number of active crafts estimated by multiplying average number per stratum by total number of strata","Nombre de navires actifs estimé par échantillonnage par strate"
"TE",NA,"FC","Total enumeration","Énumération totale","Total enumeration of active crafts; monitored/verified by government staff","Nombre de navires actifs suivi/vérifié par des fonctionnaires"
"UN",NA,"FC","Unknown","Inconnu","Unknown","Inconnu"
"AR",NA,"RC","Aggregated by area","Agrégé par zone","Retained catches not available; aggregated by IOTC Area; broken by area using alternative info","Captures conservées non disponibles; agrégées par zone et séparées par info alternative"
"AU",NA,"RC","Port sampling","Échantillonnage au port","Estimated using average catches per vessel unloading from port sampling","Captures estimées par échantillonnage des débarquements"
"AV",NA,"RC","Average vessel","Moyenne par navire","Estimated using average catches per ship and total active ships","Captures estimées par moyenne par navire et nombre de navires actifs"
"CA",NA,"RC","Survey data","Données d’enquête","Derived from catch assessment survey","Captures estimées par enquête statistique"
"ES",NA,"RC","Survey-based estimate","Estimation par enquête","Estimated using average CPUE from sample survey and total effort recorded","Captures estimées par PUE et effort total enregistré"
"FA",NA,"RC","Proxy fleet","Flotte proxy","Estimated using total active vessels and average catches from proxy fleet","Captures estimées par nombre de navires actifs et moyenne d’une flotte similaire"
"FC",NA,"RC","Fleet previous years","Flotte années précédentes","Estimated using same fleet averages in previous years","Captures estimées par moyenne flotte années précédentes"
"FO",NA,"RC","Trend following years","Tendance années suivantes","Estimated using trend from following years","Captures estimées par tendance années suivantes"
"FS",NA,"RC","Flag & species","Pavillon & espèce","Aggregated by flag and species; broken by flag using historical proportions; broken by species using fleet composition in neighbouring country","Captures agrégées par pavillon et espèce; séparées par pavillon et espèce utilisant info historique"
"GA",NA,"RC","Gear & area","Engin & zone","Aggregated by gear and area; broken using alternative info","Captures agrégées par engin et zone; séparées par info alternative"
"GE",NA,"RC","Gear","Engin","Aggregated by gear; broken using alternative info","Captures agrégées par engin; séparées par info alternative"
"GS",NA,"RC","Gear & species","Engin & espèce","Aggregated by gear and species; broken using alternative info","Captures agrégées par engin et espèce; séparées par info alternative"
"IN",NA,"RC","Interpolation","Interpolation","Estimated through interpolation","Captures estimées par interpolation"
"LG",NA,"RC","Logbook","Journal de bord","Estimated by raising amounts recorded in logbooks to total unloaded/transshipped","Captures estimées en extrapolant les données du journal de bord"
"LS",NA,"RC","Logbook + size","Journal + taille","Estimated by adjusting species composition using size samples","Captures estimées en ajustant la composition par taille"
"NO",NA,"RC","Not estimated","Non estimé","Not estimated; reported landings not verified","Captures non estimées; données non vérifiées"
"PA",NA,"RC","Port slips","Fiches de débarquement","Estimated using landing slips at processing plants and total unloadings","Captures estimées via fiches de débarquement et nombre total de navires"
"PR",NA,"RC","Processed weight","Poids transformé","Raised to live weight using conversion factor","Captures transformées élevées au poids vif via facteur de conversion"
"PT",NA,"RC","Previous year","Année précédente","Estimated using previous year catches and proxy fleet trends","Captures estimées via année précédente et flotte proxy"
"RA",NA,"RC","Area & processing","Zone & transformation","Aggregated by area and in processed weight; raised using conversion factors","Captures agrégées par zone et poids transformé; estimées via facteur de conversion"
"RF",NA,"RC","Following year","Année suivante","Repetition of following year data","Répétition des données années suivantes"
"RP",NA,"RC","Previous year repetition","Année précédente répétition","Repetition of previous year data","Répétition des données années précédentes"
"RS",NA,"RC","Ratio species","Ratio espèces","Estimated using ratio of catches of species to other species","Captures estimées par proportion espèces/autres espèces"
"SA",NA,"RC","Species & area","Espèce & zone","Aggregated by species and area; broken using alternative info","Captures agrégées par espèce et zone; séparées par info alternative"
"SB",NA,"RC","Substitution","Substitution","Estimated using retained catches from other years","Captures estimées via données d’autres années"
"SG",NA,"RC","Gear, species & area","Engin, espèce & zone","Aggregated by gear, species, area; broken using alternative info","Captures agrégées par engin, espèce et zone; séparées par info alternative"
"SP",NA,"RC","Species","Espèce","Aggregated by species; broken using alternative info","Captures agrégées par espèce; séparées par info alternative"
"SS",NA,"RC","Survey-based stratum estimate","Estimation par enquête et strates","Estimated using average CPUE from sample survey and total estimated effort","Captures estimées par PUE moyenne et effort total estimé"
"TE",NA,"RC","Total enumeration","Énumération totale","Total enumeration; monitored/verified by staff","Dénombrement total; suivi/vérifié par fonctionnaires"
"TR",NA,"RC","Trend previous years","Tendance années précédentes","Estimated using trend from previous years","Captures estimées par tendance années précédentes"
"UN",NA,"RC","Unknown","Inconnu","Unknown","Inconnu"
"NO",NA,"SF","Not verified","Non vérifié","Fish lengths/weights reported by sector not verified by government staff","Longueurs/poids non vérifiés"
"PR",NA,"SF","Raised to sampling unit","Échantillons extrapolés","Length/weight samples raised to represent catches in sampling unit","Échantillons de longueurs/poids extrapolés à l’unité d’échantillonnage"
"RS",NA,"SF","Raised to stratum","Échantillons extrapolés par strate","Length/weight samples raised to represent total catches in stratum","Échantillons extrapolés pour représenter captures totales dans la strate"
"SP",NA,"SF","Not processed","Non traité","Original samples collected by staff or observers, not processed","Échantillons non traités"
"TE",NA,"SF","Total enumeration","Énumération totale","No estimation required; fish lengths/weights monitored/verified by staff","Dénombrement total; suivi/vérifié par fonctionnaires"
"UN",NA,"SF","Unknown","Inconnu","Unknown","Inconnu"
