code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
PHL,NA,Philippines,NA,Philippines,Philippines,Filipinas,الفلبين,菲律宾,Филиппины
PCN,NA,Pitcairn,NA,Pitcairn,Pitcairn,Pitcairn,بيتكيرن,皮特克恩,Питкэрн
POL,NA,Poland,NA,Poland,Pologne,Polonia,بولندا,波兰,Польша
PRT,NA,Portugal,NA,Portugal,Portugal,Portugal,البرتغال,葡萄牙,Португалия
GNB,NA,Guinea-Bissau,NA,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,غينيا - بيساو,几内亚比绍,Гвинея-Бисау
TLS,NA,Timor-Leste,NA,Timor-Leste,Timor-Leste,Timor-Leste,تيمور - ليشتي,东帝汶,Тимор-Лешти
PRI,NA,Puerto Rico,NA,Puerto Rico,Porto Rico,Puerto Rico,بورتوريكو,波多黎各,Пуэрто-Рико
ERI,NA,Eritrea,NA,Eritrea,Érythrée,Eritrea,إريتريا,厄立特里亚,Эритрея
QAT,NA,Qatar,NA,Qatar,Qatar,Qatar,قطر,卡塔尔,Катар
PLW,NA,Palau,NA,Palau,Palaos,Palau,بالاو,帕劳,Палау
ZWE,NA,Zimbabwe,NA,Zimbabwe,Zimbabwe,Zimbabwe,زمبابوي,津巴布韦,Зимбабве
REU,NA,Réunion,NA,Réunion,Réunion,Reunión,رييونيون,留尼汪,Реюньон
ROU,NA,Romania,NA,Romania,Roumanie,Rumania,رومانيا,罗马尼亚,Румыния
RWA,NA,Rwanda,NA,Rwanda,Rwanda,Rwanda,رواندا,卢旺达,Руанда
RUS,NA,Russian Federation,NA,Russian Federation,Fédération de Russie,Federación de Rusia,الاتحاد الروسي,俄罗斯联邦,Российская Федерация
SCG,NA,Serbia and Montenegro,NA,Serbia and Montenegro,Serbie-et-Monténégro,Serbia y Montenegro,NA,NA,NA
SHN,NA,"Ascension, Saint Helena and Tristan da Cunha",NA,"Ascension, Saint Helena and Tristan da Cunha","Ascension, Sainte-Hélène et Tristan da Cunha","Ascensión, Santa Elena y Tristán de Acuña",سانت هيلانة وأسنسيون وتريستان دا كونا,阿森松、圣赫勒拿和特⾥斯坦-达库尼亚,"острова Вознесения, Святой Елены и Тристан-да-Кунья"
KNA,NA,Saint Kitts and Nevis,NA,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,سانت كيتس ونيفس,圣基茨和尼维斯,Сент-Китс и Невис
LCA,NA,Saint Lucia,NA,Saint Lucia,Sainte-Lucie,Santa Lucía,سانت لوسيا,圣卢西亚,Сент-Люсия
SPM,NA,Saint Pierre and Miquelon,NA,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,San Pedro y Miquelón,سان بيير وميكلون,圣皮埃尔和密克隆,Сен-Пьер и Микелон
VCT,NA,Saint Vincent and the Grenadines,NA,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,Сент-Винсент и Гренадины
SMR,NA,San Marino,NA,San Marino,Saint-Marin,San Marino,سان مارينو,圣马力诺,Сан-Марино
STP,NA,Sao Tome and Principe,NA,Sao Tome and Principe,Sao Tomé-et-Principe,Santo Tomé y Príncipe,سان تومي وبرينسيبي,圣多美和普林西比,Сан-Томе и Принсипи
SAU,NA,Saudi Arabia,NA,Saudi Arabia,Arabie saoudite,Arabia Saudita,المملكة العربيّة السعوديّة,沙特阿拉伯,Саудовская Аравия
SEN,NA,Senegal,NA,Senegal,Sénégal,Senegal,السنغال,塞内加尔,Сенегал
SYC,NA,Seychelles,NA,Seychelles,Seychelles,Seychelles,سيشيل,塞舌尔,Сейшельские Острова
SLE,NA,Sierra Leone,NA,Sierra Leone,Sierra Leone,Sierra Leona,سيراليون,塞拉利昂,Сьерра-Леоне
SVN,NA,Slovenia,NA,Slovenia,Slovénie,Eslovenia,سلوفينيا,斯洛文尼亚,Словения
SVK,NA,Slovakia,NA,Slovakia,Slovaquie,Eslovaquia,سلوفاكيا,斯洛伐克,Словакия
SGP,NA,Singapore,NA,Singapore,Singapour,Singapur,سنغافورة,新加坡,Сингапур
SOM,NA,Somalia,NA,Somalia,Somalie,Somalia,الصومال,索马里,Сомали
ZAF,NA,South Africa,NA,South Africa,Afrique du Sud,Sudáfrica,جنوب أفريقيا,南非,Южная Африка
ESP,NA,Spain,NA,Spain,Espagne,España,إسبانيا,西班牙,Испания
ESH,NA,Western Sahara,NA,Western Sahara,Sahara occidental,Sáhara Occidental,الصحراء الغربيّة,西撒哈拉,Западная Сахара
NA,NA,Sudan (former),NA,Sudan (former),Soudan (ex),Sudán (ex),السودان,苏丹,Судан
SUR,NA,Suriname,NA,Suriname,Suriname,Suriname,سورينام,苏里南,Суринам
TJK,NA,Tajikistan,NA,Tajikistan,Tadjikistan,Tayikistán,طاجيكستان,塔吉克斯坦,Таджикистан
SWZ,NA,Eswatini,NA,Eswatini,Eswatini,Eswatini,إسواتيني,斯威士兰,Эсватини
SWE,NA,Sweden,NA,Sweden,Suède,Suecia,السويد,瑞典,Швеция
CHE,NA,Switzerland,NA,Switzerland,Suisse,Suiza,سويسرا,瑞士,Швейцария
SYR,NA,Syrian Arab Republic,NA,Syrian Arab Republic,République arabe syrienne,República Árabe Siria,الجمهوريّة العربيّة السوريّة,阿拉伯叙利亚共和国,Сирийская Арабская Республика
TKM,NA,Turkmenistan,NA,Turkmenistan,Turkménistan,Turkmenistán,تركمانستان,土库曼斯坦,Туркменистан
TWN,NA,Taiwan Province of China,NA,Taiwan Province of China,Province chinoise de Taïwan,Provincia china de Taiwán,مقاطعة تايوان الصينية,中国台湾省,китайская провинция Тайвань
TZA,NA,United Republic of Tanzania,NA,United Republic of Tanzania,République-Unie de Tanzanie,República Unida de Tanzanía,جمهوريّة تنزانيا المتحدة,坦桑尼亚联合共和国,Объединенная Республика Танзания
THA,NA,Thailand,NA,Thailand,Thaïlande,Tailandia,تايلند,泰国,Таиланд
TGO,NA,Togo,NA,Togo,Togo,Togo,توغو,多哥,Того
TKL,NA,Tokelau,NA,Tokelau,Tokélaou,Tokelau,توكيلاو,托克劳,Токелау
TON,NA,Tonga,NA,Tonga,Tonga,Tonga,تونغا,汤加,Тонга
TTO,NA,Trinidad and Tobago,NA,Trinidad and Tobago,Trinité-et-Tobago,Trinidad y Tabago,ترينيداد وتوباغو,特立尼达和多巴哥,Тринидад и Тобаго
OMN,NA,Oman,NA,Oman,Oman,Omán,عمان,阿曼,Оман
TUN,NA,Tunisia,NA,Tunisia,Tunisie,Túnez,تونس,突尼斯,Тунис
TUR,NA,Türkiye,NA,Türkiye,Türkiye,Türkiye,تركيا,土耳其,Турция
TCA,NA,Turks and Caicos Islands,NA,Turks and Caicos Islands,Îles Turques-et-Caïques,Islas Turcas y Caicos,جزر تركس وكايكوس,特克斯和凯科斯群岛,острова Тёркс и Кайкос
ARE,NA,United Arab Emirates,NA,United Arab Emirates,Émirats arabes unis,Emiratos Árabes Unidos,الإمارات العربيّة المتحدة,阿拉伯联合酋长国,Объединенные Арабские Эмираты
UGA,NA,Uganda,NA,Uganda,Ouganda,Uganda,أوغندا,乌干达,Уганда
TUV,NA,Tuvalu,NA,Tuvalu,Tuvalu,Tuvalu,توفالو,图瓦卢,Тувалу
SUN,NA,Un. Sov. Soc. Rep.,NA,Un. Sov. Soc. Rep.,Union des Rép.soc.sov.,Unión de Rep.Soc.Sov.,NA,NA,NA
