"country_code","country_name","currency_code","currency_name"
"CHL","Chile","CLF","Unidad de Fomento"
"CHL","Chile","CLP","Chilean Peso"
"CHN","China","CNY","Yuan Renminbi"
"CIV","Côte d'Ivoire","XOF","CFA Franc BCEAO"
"CMR","Cameroon","XAF","CFA Franc BEAC"
"COD","Democratic Republic of the Congo","CDF","Congolese Franc"
"COG","Congo","XAF","CFA Franc BEAC"
"COK","Cook Islands","NZD","New Zealand Dollar"
"COL","Colombia","COP","Colombian Peso"
"COL","Colombia","COU","Unidad de Valor Real"
"COM","Comoros","KMF","Comoro Franc"
"CPV","Cabo Verde","CVE","Cabo Verde Escudo"
"CRI","Costa Rica","CRC","Costa Rican Colon"
"CUB","Cuba","CUC","Peso Convertible"
"CUB","Cuba","CUP","Cuban Peso"
"CUW","Curaçao","ANG","Netherlands Antillean Guilder"
"CXR","Christmas Island","AUD","Australian Dollar"
"CYM","Cayman Islands","KYD","Cayman Islands Dollar"
"CYP","Cyprus","EUR","Euro"
"CZE","Czechia","CZK","Czech Koruna"
"DEU","Germany","EUR","Euro"
"DEU","Germany","EUR","Euro"
"DJI","Djibouti","DJF","Djibouti Franc"
"DMA","Dominica","XCD","East Caribbean Dollar"
"DNK","Denmark","DKK","Danish Krone"
"DOM","Dominican Republic","DOP","Dominican Peso"
"DZA","Algeria","DZD","Algerian Dinar"
"ECU","Ecuador","USD","US Dollar"
"EGY","Egypt","EGP","Egyptian Pound"
"ERI","Eritrea","ERN","Nakfa"
"ESH","Western Sahara","MAD","Moroccan Dirham"
"ESP","Spain","EUR","Euro"
"EST","Estonia","EUR","Euro"
"ETH","Ethiopia","ETB","Ethiopian Birr"
"FIN","Finland","EUR","Euro"
"FJI","Fiji","FJD","Fiji Dollar"
"FLK","Falkland Islands (Malvinas)","FKP","Falkland Islands Pound"
"FRA","France","EUR","Euro"
"FRO","Faroe Islands","DKK","Danish Krone"
"FSM","Micronesia (Federated States of)","USD","US Dollar"
"GAB","Gabon","XAF","CFA Franc BEAC"
"GBR","United Kingdom of Great Britain and Northern Ireland","GBP","Pound Sterling"
"GEO","Georgia","GEL","Lari"
"GGY","Guernsey","GBP","Pound Sterling"
"GHA","Ghana","GHS","Ghana Cedi"
"GIB","Gibraltar","GIP","Gibraltar Pound"
"GIN","Guinea","GNF","Guinea Franc"
"GLP","Guadeloupe","EUR","Euro"
"GMB","Gambia","GMD","Dalasi"
"GNB","Guinea-Bissau","XOF","CFA Franc BCEAO"
"GNQ","Equatorial Guinea","XAF","CFA Franc BEAC"
"GRC","Greece","EUR","Euro"
"GRD","Grenada","XCD","East Caribbean Dollar"
"GRL","Greenland","DKK","Danish Krone"
"GTM","Guatemala","GTQ","Quetzal"
"GUF","French Guiana","EUR","Euro"
"GUM","Guam","USD","US Dollar"
"GUY","Guyana","GYD","Guyana Dollar"
"HKG","China, Hong Kong SAR","HKD","Hong Kong Dollar"
"HMD","Heard Island and McDonald Islands","AUD","Australian Dollar"
"HND","Honduras","HNL","Lempira"
"HRV","Croatia","HRK","Kuna"
"HTI","Haiti","HTG","Gourde"
"HTI","Haiti","USD","US Dollar"
"HUN","Hungary","HUF","Forint"
"IDN","Indonesia","IDR","Rupiah"
"IMN","Isle of Man","GBP","Pound Sterling"
"IND","India","INR","Indian Rupee"
"IOT","British Indian Ocean Territory","USD","US Dollar"
"IRL","Ireland","EUR","Euro"
"IRN","Iran (Islamic Republic of)","IRR","Iranian Rial"
"IRQ","Iraq","IQD","Iraqi Dinar"
"ISL","Iceland","ISK","Iceland Krona"
"ISR","Israel","ILS","New Israeli Sheqel"
"ITA","Italy","EUR","Euro"
"JAM","Jamaica","JMD","Jamaican Dollar"
"JEY","Jersey","GBP","Pound Sterling"
"JOR","Jordan","JOD","Jordanian Dinar"
"JPN","Japan","JPY","Yen"
"KAZ","Kazakhstan","KZT","Tenge"
"KEN","Kenya","KES","Kenyan Shilling"
"KGZ","Kyrgyzstan","KGS","Som"
"KHM","Cambodia","KHR","Riel"
"KIR","Kiribati","AUD","Australian Dollar"
"KNA","Saint Kitts and Nevis","XCD","East Caribbean Dollar"
"KOR","Republic of Korea","KRW","Won"
"KWT","Kuwait","KWD","Kuwaiti Dinar"
"LAO","Lao People's Democratic Republic","LAK","Kip"
"LBN","Lebanon","LBP","Lebanese Pound"
"LBR","Liberia","LRD","Liberian Dollar"
"LBY","Libya","LYD","Libyan Dinar"
"LCA","Saint Lucia","XCD","East Caribbean Dollar"
"LIE","Liechtenstein","CHF","Swiss Franc"
"LKA","Sri Lanka","LKR","Sri Lanka Rupee"
"LSO","Lesotho","LSL","Loti"
"LSO","Lesotho","ZAR","Rand"
"LTU","Lithuania","EUR","Euro"
"LUX","Luxembourg","EUR","Euro"
"LVA","Latvia","EUR","Euro"
"MAC","China, Macao SAR","MOP","Pataca"
"MAF","Saint Martin (French part)","EUR","Euro"
"MAR","Morocco","MAD","Moroccan Dirham"
"MCO","Monaco","EUR","Euro"
"MDA","Republic of Moldova","MDL","Moldovan Leu"
"MDG","Madagascar","MGA","Malagasy Ariary"
"MDV","Maldives","MVR","Rufiyaa"
"MEX","Mexico","MXN","Mexican Peso"
"MEX","Mexico","MXV","Mexican Unidad de Inversion (UDI)"
"MHL","Marshall Islands","USD","US Dollar"
"MKD","North Macedonia","MKD","Denar"
"MLI","Mali","XOF","CFA Franc BCEAO"
"MLT","Malta","EUR","Euro"
"MMR","Myanmar","MMK","Kyat"
"MNE","Montenegro","EUR","Euro"
"MNG","Mongolia","MNT","Tugrik"
"MNP","Northern Mariana Islands","USD","US Dollar"
"MOZ","Mozambique","MZN","Mozambique Metical"
"MRT","Mauritania","MRU","Ouguiya"
"MSR","Montserrat","XCD","East Caribbean Dollar"
"MTQ","Martinique","EUR","Euro"
"MUS","Mauritius","MUR","Mauritius Rupee"
"MWI","Malawi","MWK","Kwacha"
"MYS","Malaysia","MYR","Malaysian Ringgit"
"MYT","Mayotte","EUR","Euro"
"NAM","Namibia","NAD","Namibia Dollar"
"NAM","Namibia","ZAR","Rand"
"NCL","New Caledonia","XPF","CFP Franc"
"NER","Niger","XOF","CFA Franc BCEAO"
"NFK","Norfolk Island","AUD","Australian Dollar"
"NGA","Nigeria","NGN","Naira"
"NIC","Nicaragua","NIO","Cordoba Oro"
"NIU","Niue","NZD","New Zealand Dollar"
"NLD","Netherlands","EUR","Euro"
"NOR","Norway","NOK","Norwegian Krone"
"NPL","Nepal","NPR","Nepalese Rupee"
"NRU","Nauru","AUD","Australian Dollar"
"NZL","New Zealand","NZD","New Zealand Dollar"
"OMN","Oman","OMR","Rial Omani"
"PAK","Pakistan","PKR","Pakistan Rupee"
"PAN","Panama","PAB","Balboa"
"PAN","Panama","USD","US Dollar"
"PCN","Pitcairn","NZD","New Zealand Dollar"
"PER","Peru","PEN","Nuevo Sol"
"PHL","Philippines","PHP","Philippine Peso"
"PLW","Palau","USD","US Dollar"
"PNG","Papua New Guinea","PGK","Kina"
"POL","Poland","PLN","Zloty"
"PRI","Puerto Rico","USD","US Dollar"
"PRK","Democratic People's Republic of Korea","KPW","North Korean Won"
"PRT","Portugal","EUR","Euro"
"PRY","Paraguay","PYG","Guarani"
"PSE","Palestine","Non","None"
"PYF","French Polynesia","XPF","CFP Franc"
"QAT","Qatar","QAR","Qatari Rial"
"REU","Réunion","EUR","Euro"
"ROU","Romania","RON","Romanian Leu"
"RUS","Russian Federation","RUB","Russian Ruble"
"RWA","Rwanda","RWF","Rwanda Franc"
"SAU","Saudi Arabia","SAR","Saudi Riyal"
"SDN","Sudan","SDG","Sudanese Pound"
"SEN","Senegal","XOF","CFA Franc BCEAO"
"SGP","Singapore","SGD","Singapore Dollar"
"SGS","South Georgia and the South Sandwich Islands","NON","none"
"SHN","Ascension, Saint Helena and Tristan da Cunha","SHP","Saint Helena Pound"
"SJM","Svalbard and Jan Mayen Islands","NOK","Norwegian Krone"
"SLB","Solomon Islands","SBD","Solomon Islands Dollar"
"SLE","Sierra Leone","SLL","Leone"
"SLV","El Salvador","SVC","El Salvador Colon"
"SLV","El Salvador","USD","US Dollar"
"SMR","San Marino","EUR","Euro"
"SOM","Somalia","SOS","Somali Shilling"
"SPM","Saint Pierre and Miquelon","EUR","Euro"
"SRB","Serbia","RSD","Serbian Dinar"
"SSD","South Sudan","SSP","South Sudanese Pound"
"STP","Sao Tome and Principe","STN","Dobra"
"SUR","Suriname","SRD","Surinam Dollar"
"SVK","Slovakia","EUR","Euro"
"SVN","Slovenia","EUR","Euro"
"SWE","Sweden","SEK","Swedish Krona"
"SWZ","Eswatini","SZL","Lilangeni"
"SXM","Sint Maarten (Dutch part)","ANG","Netherlands Antillean Guilder"
"SYC","Seychelles","SCR","Seychelles Rupee"
"SYR","Syrian Arab Republic","SYP","Syrian Pound"
"TCA","Turks and Caicos Islands","USD","US Dollar"
"TCD","Chad","XAF","CFA Franc BEAC"
"TGO","Togo","XOF","CFA Franc BCEAO"
"THA","Thailand","THB","Baht"
"TJK","Tajikistan","TJS","Somoni"
"TKL","Tokelau","NZD","New Zealand Dollar"
"TKM","Turkmenistan","TMT","Turkmenistan New Manat"
"TLS","Timor-Leste","USD","US Dollar"
"TON","Tonga","TOP","PaΓÇÖanga"
"TTO","Trinidad and Tobago","TTD","Trinidad and Tobago Dollar"
"TUN","Tunisia","TND","Tunisian Dinar"
"TUR","Türkiye","TRY","Turkish Lira"
"TUV","Tuvalu","AUD","Australian Dollar"
"TWN","Taiwan Province of China","TWD","New Taiwan Dollar"
"TZA","United Republic of Tanzania","TZS","Tanzanian Shilling"
"UGA","Uganda","UGX","Uganda Shilling"
"UKR","Ukraine","UAH","Hryvnia"
"UMI","United States Minor Outlying Islands","USD","US Dollar"
"URY","Uruguay","UYI","Uruguay Peso en Unidades Indexadas (URUIURUI)"
"URY","Uruguay","UYU","Peso Uruguayo"
"USA","United States of America","USD","US Dollar"
"USA","United States of America","USN","US Dollar (Next day)"
"UZB","Uzbekistan","UZS","Uzbekistan Sum"
"VAT","Holy See","EUR","Euro"
"VCT","Saint Vincent and the Grenadines","XCD","East Caribbean Dollar"
"VEN","Venezuela (Bolivarian Republic of)","VEF","Bolivar"
"VGB","British Virgin Islands","USD","US Dollar"
"VIR","United States Virgin Islands","USD","US Dollar"
"VNM","Viet Nam","VND","Dong"
"VUT","Vanuatu","VUV","Vatu"
"WLF","Wallis and Futuna Islands","XPF","CFP Franc"
"WSM","Samoa","WST","Tala"
"YEM","Yemen","YER","Yemeni Rial"
"ZAF","South Africa","ZAR","Rand"
"ZMB","Zambia","ZMW","Zambian Kwacha"
"ZWE","Zimbabwe","ZWL","Zimbabwe Dollar"
