"code","uri","label_en","label_fr","definition_en","definition_fr"
"CRI",NA,"Costa Rica","Costa Rica (le)","the Republic of Costa Rica","la République du Costa Rica"
"CUB",NA,"Cuba","Cuba","the Republic of Cuba","la République de Cuba"
"CUW",NA,"Curaçao","Curaçao","Curaçao","Curaçao"
"CXR",NA,"Christmas Island","Île Christmas (l')","Christmas Island","l'Île Christmas"
"CYM",NA,"Cayman Islands (the)","Îles Caïmanes (les)","the Cayman Islands","les Îles Caïmanes"
"CYP",NA,"Cyprus","Chypre","the Republic of Cyprus","la République de Chypre"
"CZE",NA,"Czechia","Tchéquie (la)","the Czech Republic","la République tchèque"
"DEU",NA,"Germany","Allemagne (l')","the Federal Republic of Germany","la République fédérale d'Allemagne"
"DJI",NA,"Djibouti","Djibouti","the Republic of Djibouti","la République de Djibouti"
"DMA",NA,"Dominica","Dominique (la)","the Commonwealth of Dominica","le Commonwealth de la Dominique"
"DNK",NA,"Denmark","Danemark (le)","the Kingdom of Denmark","le Royaume du Danemark"
"DOM",NA,"Dominican Republic (the)","République dominicaine (la)","the Dominican Republic","la République dominicaine"
"DZA",NA,"Algeria","Algérie (l')","the People's Democratic Republic of Algeria","la République algérienne démocratique et populaire"
"ECU",NA,"Ecuador","Équateur (l')","the Republic of Ecuador","la République de l'Équateur"
"EGY",NA,"Egypt","Égypte (l')","the Arab Republic of Egypt","la République arabe d'Égypte"
"ERI",NA,"Eritrea","Érythrée (l')","the State of Eritrea","l'État d'Érythrée"
"ESH",NA,"Western Sahara","Sahara occidental (le)","Western Sahara","le Sahara occidental"
"ESP",NA,"Spain","Espagne (l')","the Kingdom of Spain","le Royaume d'Espagne"
"EST",NA,"Estonia","Estonie (l')","the Republic of Estonia","la République d'Estonie"
"ETH",NA,"Ethiopia","Éthiopie (l')","the Federal Democratic Republic of Ethiopia","la République fédérale démocratique d'Éthiopie"
"EUR",NA,"European Union (the)","Union européenne (l')","the European Union","l'Union européenne"
"FIN",NA,"Finland","Finlande (la)","the Republic of Finland","la République de Finlande"
"FJI",NA,"Fiji","Fidji (les)","the Republic of Fiji","la République des Fidji"
"FLK",NA,"Falkland Islands (Malvinas) (the)","Îles Falkland (Malvinas) (les)","the Falkland Islands (Malvinas)","les Îles Falkland (Malvinas)"
"FRA",NA,"France","France (la)","the French Republic","la République française"
"FRO",NA,"Faroe Islands (the)","Îles Féroé (les)","the Faroe Islands","les Îles Féroé"
"FSM",NA,"Federated States of Micronesia (the)","États fédérés de Micronésie (les)","the Federated States of Micronesia","les États fédérés de Micronésie"
"GAB",NA,"Gabon","Gabon (le)","the Gabonese Republic","la République gabonaise"
"GBR",NA,"United Kingdom of Great Britain and Northern Ireland (the)","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord (le)","the United Kingdom of Great Britain and Northern Ireland","le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord"
"GEO",NA,"Georgia","Géorgie (la)","Georgia","la Géorgie"
"GGY",NA,"Guernsey","Guernesey","the Bailiwick of Guernsey","le Bailliage de Guernesey"
"GHA",NA,"Ghana","Ghana (le)","the Republic of Ghana","la République du Ghana"
"GIB",NA,"Gibraltar","Gibraltar","Gibraltar","Gibraltar"
"GIN",NA,"Guinea","Guinée (la)","the Republic of Guinea","la République de Guinée"
"GLP",NA,"Guadeloupe","Guadeloupe","Guadeloupe","la Guadeloupe"
"GMB",NA,"Gambia (the)","Gambie (la)","the Republic of the Gambia","la République de Gambie"
"GNB",NA,"Guinea-Bissau","Guinée-Bissau (la)","the Republic of Guinea-Bissau","la République de Guinée-Bissau"
"GNQ",NA,"Equatorial Guinea","Guinée équatoriale (la)","the Republic of Equatorial Guinea","la République de Guinée équatoriale"
"GRC",NA,"Greece","Grèce (la)","the Hellenic Republic","la République hellénique"
"GRD",NA,"Grenada","Grenade (la)","Grenada","la Grenade"
"GRL",NA,"Greenland","Groenland","Greenland","Groenland"
"GTM",NA,"Guatemala","Guatemala (le)","the Republic of Guatemala","la République du Guatemala"
"GUF",NA,"French Guiana","Guyane française (la)","French Guiana","la Guyane française"
"GUM",NA,"Guam","Guam","Guam","Guam"
"GUY",NA,"Guyana","Guyana (le)","the Co-operative Republic of Guyana","la République coopérative du Guyana"
"HKG",NA,"China, Hong Kong SAR","Chine - RAS de Hong-Kong","China, Hong Kong Special Administrative Region","Chine - Région administrative spéciale de Hong-Kong"
"HMD",NA,"Heard Island and McDonald Islands","Île Heard (l') et Îles McDonald (et les)","Heard Island and McDonald Islands","l'Île Heard et les Îles McDonald"
"HND",NA,"Honduras","Honduras (le)","the Republic of Honduras","la République du Honduras"
"HRV",NA,"Croatia","Croatie (la)","the Republic of Croatia","la République de Croatie"
"HTI",NA,"Haiti","Haïti","the Republic of Haiti","la République d'Haïti"
"HUN",NA,"Hungary","Hongrie (la)","Hungary","la Hongrie"
"IDN",NA,"Indonesia","Indonésie (l')","the Republic of Indonesia","la République d'Indonésie"
"IMN",NA,"Isle of Man (the)","Île de Man (l')","the Isle of Man","l'Île de Man"
"IND",NA,"India","Inde (l')","the Republic of India","la République de l'Inde"
"IOT",NA,"British Indian Ocean Territory (the)","Territoire britannique de l'océan Indien (le)","the British Indian Ocean Territory","le Territoire britannique de l'océan Indien"
"IOTC",NA,"IOTC","CTOI","Group of IOTC countries  (NEI)","Groupe de pays CTOI (NCA)"
"IPTP",NA,"IPTP","IPTP","Group of IPTP countries (NEI)","Groupe de pays CTOI (NCA)"
"IRL",NA,"Ireland","Irlande (l')","Ireland","l'Irlande"
"IRN",NA,"Islamic Republic of Iran (the)","République islamique d'Iran (la)","the Islamic Republic of Iran","la République islamique d'Iran"
"IRQ",NA,"Iraq","Iraq (l')","the Republic of Iraq","la République d'Iraq"
"ISL",NA,"Iceland","Islande (l')","Iceland","l'Islande"
"ISR",NA,"Israel","Israël","the State of Israel","l'État d'Israël"
"ITA",NA,"Italy","Italie (l')","the Republic of Italy","la République italienne"
"JAM",NA,"Jamaica","Jamaïque (la)","Jamaica","la Jamaïque"
"JEY",NA,"Jersey","Jersey","Jersey","Jersey"
"JOR",NA,"Jordan","Jordanie (la)","the Hashemite Kingdom of Jordan","le Royaume hachémite de Jordanie"
"JPN",NA,"Japan","Japon (le)","Japan","le Japon"
"KAZ",NA,"Kazakhstan","Kazakhstan (le)","the Republic of Kazakhstan","la République du Kazakhstan"
"KEN",NA,"Kenya","Kenya (le)","the Republic of Kenya","la République du Kenya"
"KGZ",NA,"Kyrgyzstan","Kirghizistan (le)","the Kyrgyz Republic","la République kirghize"
"KHM",NA,"Cambodia","Cambodge (le)","the Kingdom of Cambodia","le Royaume du Cambodge"
"KIR",NA,"Kiribati","Kiribati","the Republic of Kiribati","la République de Kiribati"
"KNA",NA,"Saint Kitts and Nevis","Saint-Kitts-et-Nevis","Saint Kitts and Nevis","Saint-Kitts-et-Nevis"
"KOR",NA,"Republic of Korea (the)","République de Corée (la)","the Republic of Korea","la République de Corée"
"KWT",NA,"Kuwait","Koweït (le)","the State of Kuwait","l'État du Koweït"
"LAO",NA,"Lao People's Democratic Republic (the)","République démocratique populaire lao (la)","the Lao People's Democratic Republic","la République démocratique populaire lao"
"LBN",NA,"Lebanon","Liban (le)","the Lebanese Republic","la République libanaise"
"LBR",NA,"Liberia","Libéria (le)","the Republic of Liberia","la République du Libéria"
"LBY",NA,"Libya","Libye (la)","the State of Libya","l'État de Libye"
"LCA",NA,"Saint Lucia","Sainte-Lucie","Saint Lucia","Sainte-Lucie"
"LIE",NA,"Liechtenstein","Liechtenstein (le)","the Principality of Liechtenstein","la Principauté du Liechtenstein"
"LKA",NA,"Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka","la République socialiste démocratique de Sri Lanka"
"LSO",NA,"Lesotho","Lesotho (le)","the Kingdom of Lesotho","le Royaume du Lesotho"
"LTU",NA,"Lithuania","Lituanie (la)","the Republic of Lithuania","la République de Lituanie"
"LUX",NA,"Luxembourg","Luxembourg (le)","the Grand Duchy of Luxembourg","le Grand-Duché de Luxembourg"
"LVA",NA,"Latvia","Lettonie (la)","the Republic of Latvia","la République de Lettonie"
"MAC",NA,"China, Macao SAR","Chine - RAS de Macao","China, Macao Special Administrative Region","Chine - Région administrative spéciale de Macao"
"MAF",NA,"Saint Martin (French part)","Saint-Martin (partie française)","Saint Martin (French part)","Saint-Martin (partie française)"
"MAR",NA,"Morocco","Maroc (le)","the Kingdom of Morocco","le Royaume du Maroc"
"MCO",NA,"Monaco","Monaco","the Principality of Monaco","la Principauté de Monaco"
"MDA",NA,"Republic of Moldova (the)","République de Moldova (la)","the Republic of Moldova","la République de Moldova"
"MDG",NA,"Madagascar","Madagascar","the Republic of Madagascar","la République de Madagascar"
"MDV",NA,"Maldives","Maldives (les)","the Republic of Maldives","la République des Maldives"
"MEX",NA,"Mexico","Mexique (le)","the United Mexican States","les États-Unis du Mexique"
"MHL",NA,"Marshall Islands (the)","Îles Marshall (les)","the Republic of the Marshall Islands","la République des Îles Marshall"
"MKD",NA,"North Macedonia","Macédoine du Nord (la)","the Republic of North Macedonia","la République de Macédoine du Nord"
"MLI",NA,"Mali","Mali (le)","the Republic of Mali","la République du Mali"
"MLT",NA,"Malta","Malte","the Republic of Malta","la République de Malte"
"MMR",NA,"Myanmar","Myanmar (le)","the Republic of the Union of Myanmar","la République de l'Union du Myanmar"
"MNE",NA,"Montenegro","Monténégro (le)","Montenegro","le Monténégro"
"MNG",NA,"Mongolia","Mongolie (la)","Mongolia","la Mongolie"
"MNP",NA,"Northern Mariana Islands (the)","Îles Mariannes du Nord (les)","the Commonwealth of the Northern Mariana Islands","le Commonwealth des Îles Mariannes du Nord"
"MOZ",NA,"Mozambique","Mozambique (le)","the Republic of Mozambique","la République du Mozambique"
"MRT",NA,"Mauritania","Mauritanie (la)","the Islamic Republic of Mauritania","la République islamique de Mauritanie"
"MSR",NA,"Montserrat","Montserrat","Montserrat","Montserrat"
"MTQ",NA,"Martinique","Martinique (la)","Martinique","la Martinique"
"MUS",NA,"Mauritius","Maurice","the Republic of Mauritius","la République de Maurice"
"MWI",NA,"Malawi","Malawi (le)","the Republic of Malawi","la République du Malawi"
"MYS",NA,"Malaysia","Malaisie (la)","Malaysia","la Malaisie"
"MYT",NA,"Mayotte","Mayotte","Mayotte","Mayotte"
"NAM",NA,"Namibia","Namibie (la)","the Republic of Namibia","la République de Namibie"
"NCL",NA,"New Caledonia","Nouvelle-Calédonie (la)","New Caledonia","la Nouvelle-Calédonie"
"NEI",NA,"Not elsewhere identified (NEI)","Non compris alleurs (NCA)","Countries not elsewhere identified (NEI)","Pays non compris alleurs (NCA)"
"NER",NA,"Niger (the)","Niger (le)","the Republic of the Niger","la République du Niger"
"NFK",NA,"Norfolk Island","Île Norfolk (l')","Norfolk Island","l'Île Norfolk"
"NGA",NA,"Nigeria","Nigéria (le)","the Federal Republic of Nigeria","la République fédérale du Nigéria"
"NIC",NA,"Nicaragua","Nicaragua (le)","the Republic of Nicaragua","la République du Nicaragua"
"NIU",NA,"Niue","Nioué","Niue","Nioué"
"NLD",NA,"Netherlands (the)","Pays-Bas (les)","the Kingdom of the Netherlands","le Royaume des Pays-Bas"
"NOR",NA,"Norway","Norvège (la)","the Kingdom of Norway","le Royaume de Norvège"
"NPL",NA,"Nepal","Népal (le)","the Federal Democratic Republic of Nepal","la République fédérale démocratique du Nepal"
"NRU",NA,"Nauru","Nauru","the Republic of Nauru","la République de Nauru"
"NZL",NA,"New Zealand","Nouvelle-Zélande (la)","New Zealand","la Nouvelle-Zélande"
"OMN",NA,"Oman","Oman","the Sultanate of Oman","le Sultanat d'Oman"
"PAK",NA,"Pakistan","Pakistan (le)","the Islamic Republic of Pakistan","la République islamique du Pakistan"
"PAN",NA,"Panama","Panama (le)","the Republic of Panama","la République du Panama"
"PCN",NA,"Pitcairn","Pitcairn","Pitcairn","Pitcairn"
"PER",NA,"Peru","Pérou (le)","the Republic of Peru","la République du Pérou"
"PHL",NA,"Philippines (the)","Philippines (les)","the Republic of the Philippines","la République des Philippines"
"PLW",NA,"Palau","Palaos (les)","the Republic of Palau","la République des Palaos"
"PNG",NA,"Papua New Guinea","Papouasie-Nouvelle-Guinée (la)","the Independent State of Papua New Guinea","l'État indépendant de Papouasie-Nouvelle-Guinée"
"POL",NA,"Poland","Pologne (la)","the Republic of Poland","la République de Pologne"
"PRI",NA,"Puerto Rico","Porto Rico","the Commonwealth of Puerto Rico","l'État libre associé de Porto Rico"
"PRK",NA,"Democratic People's Republic of Korea (the)","République populaire démocratique de Corée (la)","the Democratic People's Republic of Korea","la République populaire démocratique de Corée"
"PRT",NA,"Portugal","Portugal (le)","the Portuguese Republic","la République portugaise"
"PRY",NA,"Paraguay","Paraguay (le)","the Republic of Paraguay","la République du Paraguay"
"PSE",NA,"Palestine","Palestine","Palestine","Palestine"
"PYF",NA,"French Polynesia","Polynésie française (la)","French Polynesia","la Polynésie française"
"QAT",NA,"Qatar","Qatar (le)","the State of Qatar","l'État du Qatar"
"REU",NA,"Réunion","Réunion (la)","Réunion","la Réunion"
"ROU",NA,"Romania","Roumanie (la)","Romania","la Roumanie"
"RUS",NA,"Russian Federation (the)","Fédération de Russie (la)","the Russian Federation","la Fédération de Russie"
"RWA",NA,"Rwanda","Rwanda (le)","the Republic of Rwanda","la République du Rwanda"
"SAU",NA,"Saudi Arabia","Arabie saoudite (l')","the Kingdom of Saudi Arabia","le Royaume d'Arabie saoudite"
"SDN",NA,"Sudan (the)","Soudan (le)","the Republic of the Sudan","la République du Soudan"
"SEN",NA,"Senegal","Sénégal (le)","the Republic of Senegal","la République du Sénégal"
"SGP",NA,"Singapore","Singapour","the Republic of Singapore","la République de Singapour"
"SGS",NA,"South Georgia and the South Sandwich Islands","Géorgie du Sud-et-Îles Sandwich du Sud","South Georgia and the South Sandwich Islands","Géorgie du Sud-et-Îles Sandwich du Sud"
"SHN",NA,"Ascension, Saint Helena and Tristan da Cunha","Ascension, Sainte-Hélène et Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha","Ascension, Sainte-Hélène et Tristan da Cunha"
"SJM",NA,"Svalbard and Jan Mayen Islands (the)","Îles Svalbard-et-Jan Mayen (les)","the Svalbard and Jan Mayen Islands","les Îles Svalbard-et-Jan Mayen"
"SLB",NA,"Solomon Islands","Îles Salomon (les)","Solomon Islands","les Îles Salomon"
"SLE",NA,"Sierra Leone","Sierra Leone (la)","the Republic of Sierra Leone","la République de Sierra Leone"
"SLV",NA,"El Salvador","El Salvador","the Republic of El Salvador","la République d'El Salvador"
"SMR",NA,"San Marino","Saint-Marin","the Republic of San Marino","la République de Saint-Marin"
"SOM",NA,"Somalia","Somalie (la)","the Federal Republic of Somalia","la République fédérale de Somalie"
"SPM",NA,"Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon","Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon"
"SRB",NA,"Serbia","Serbie (la)","the Republic of Serbia","la République de Serbie"
"SSD",NA,"South Sudan","Soudan du Sud (le)","the Republic of South Sudan","la République du Soudan du Sud"
"STP",NA,"Sao Tome and Principe","Sao Tomé-et-Principe","the Democratic Republic of Sao Tome and Principe","la République démocratique de Sao Tomé-et-Principe"
"SUN",NA,"Soviet Union","Union soviétique","Soviet Union","Union soviétique"
"SUR",NA,"Suriname","Suriname (le)","the Republic of Suriname","la République du Suriname"
"SVK",NA,"Slovakia","Slovaquie (la)","the Slovak Republic","la République slovaque"
"SVN",NA,"Slovenia","Slovénie (la)","the Republic of Slovenia","la République de Slovénie"
"SWE",NA,"Sweden","Suède (la)","the Kingdom of Sweden","le Royaume de Suède"
"SWZ",NA,"Eswatini","Eswatini (l')","the Kingdom of Eswatini","le Royaume d’Eswatini"
"SXM",NA,"Sint Maarten (Dutch part)","Sint Maarten (partie néerlandaise)","Sint Maarten (Dutch part)","Sint Maarten (partie néerlandaise)"
"SYC",NA,"Seychelles","Seychelles (les)","the Republic of Seychelles","la République des Seychelles"
"SYR",NA,"Syrian Arab Republic (the)","République arabe syrienne (la)","the Syrian Arab Republic","la République arabe syrienne"
"TCA",NA,"Turks and Caicos Islands (the)","Îles Turques-et-Caïques (les)","the Turks and Caicos Islands","les Îles Turques-et-Caïques"
"TCD",NA,"Chad","Tchad (le)","the Republic of Chad","la République du Tchad"
"TGO",NA,"Togo","Togo (le)","the Togolese Republic","la République togolaise"
"THA",NA,"Thailand","Thaïlande (la)","the Kingdom of Thailand","le Royaume de Thaïlande"
"TJK",NA,"Tajikistan","Tadjikistan (le)","the Republic of Tajikistan","la République du Tadjikistan"
"TKL",NA,"Tokelau","Tokélaou (les)","Tokelau","les Tokélaou"
"TKM",NA,"Turkmenistan","Turkménistan (le)","Turkmenistan","le Turkménistan"
"TLS",NA,"Timor-Leste","Timor-Leste (le)","the Democratic Republic of Timor-Leste","la République démocratique du Timor-Leste"
"TON",NA,"Tonga","Tonga (les)","the Kingdom of Tonga","le Royaume des Tonga"
"TTO",NA,"Trinidad and Tobago","Trinité-et-Tobago (la)","the Republic of Trinidad and Tobago","la République de Trinité-et-Tobago"
"TUN",NA,"Tunisia","Tunisie (la)","the Republic of Tunisia","la République tunisienne"
"TUR",NA,"Türkiye","Türkiye (la)","the Republic of Türkiye","la République de Türkiye"
"TUV",NA,"Tuvalu","Tuvalu (les)","Tuvalu","les Tuvalu"
"TWN",NA,"Taiwan Province of China","Province chinoise de Taïwan (la)","Taiwan Province of China","la Province chinoise de Taïwan"
"TZA",NA,"United Republic of Tanzania (the)","République-Unie de Tanzanie (la)","the United Republic of Tanzania","la République-Unie de Tanzanie"
"UGA",NA,"Uganda","Ouganda (l')","the Republic of Uganda","la République de l'Ouganda"
"UKR",NA,"Ukraine","Ukraine (l')","Ukraine","l'Ukraine"
"UMI",NA,"United States Minor Outlying Islands (the)","Îles mineures éloignées des États-Unis (les)","the United States Minor Outlying Islands","les Îles mineures éloignées des États-Unis"
"URY",NA,"Uruguay","Uruguay (l')","the Eastern Republic of Uruguay","la République orientale de l'Uruguay"
"USA",NA,"United States of America (the)","États-Unis d'Amérique (les)","the United States of America","les États-Unis d'Amérique"
"UZB",NA,"Uzbekistan","Ouzbékistan (l')","the Republic of Uzbekistan","la République d'Ouzbékistan"
"VAT",NA,"Holy See (the)","Saint-Siège (le)","the Holy See","le Saint-Siège"
"VCT",NA,"Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines","Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines"
"VEN",NA,"Bolivarian Republic of Venezuela (the)","République bolivarienne du Venezuela (la)","the Bolivarian Republic of Venezuela","la République bolivarienne du Venezuela"
"VGB",NA,"British Virgin Islands (the)","Îles Vierges britanniques (les)","the British Virgin Islands","les Îles Vierges britanniques"
"VIR",NA,"United States Virgin Islands (the)","Îles Vierges américaines (les)","the United States Virgin Islands","les Îles Vierges américaines"
"VNM",NA,"Viet Nam","Viet Nam (le)","the Socialist Republic of Viet Nam","la République socialiste du Viet Nam"
"VUT",NA,"Vanuatu","Vanuatu (le)","the Republic of Vanuatu","la République du Vanuatu"
"WLF",NA,"Wallis and Futuna Islands (the)","Îles Wallis-et-Futuna (les)","the Wallis and Futuna Islands","les Îles Wallis-et-Futuna"
"WSM",NA,"Samoa","Samoa (le)","the Independent State of Samoa","l'État indépendant du Samoa"
"YEM",NA,"Yemen","Yémen (le)","the Republic of Yemen","la République du Yémen"
"ZAF",NA,"South Africa","Afrique du Sud (l')","the Republic of South Africa","la République sud-africaine"
"ZMB",NA,"Zambia","Zambie (la)","the Republic of Zambia","la République de Zambie"
"ZWE",NA,"Zimbabwe","Zimbabwe (le)","the Republic of Zimbabwe","la République du Zimbabwe"
